package_name,weekly_downloads
eagerx-examples,287
pyguishudi,1
dfparaplot,1
shell-as-service,0
wix-protos-market-app-instance-manager-api,0
cryptochaos,2
lcalc,0
fact-checking,55
monero-python,8
bugtodo,0
usgota,2
backend.ai-krunner-ubuntu,8
0,498
py-subwasm-bindings,1
MarkovPy,10
antchain-ak-24b462c17fab4e6998dcceeb37c41789,4
jixiaoye,0
netify,0
eagerx-ode,15
lcapygui,39
monesh2,0
shellcc,0
gpt4api-dg,3
proto-template,0
sphinx.webtools,0
django-polls-sunwei,1
factest,2
freecall,0
hyccup,2
pyguitemp,1
00101s,0
pgwrap,2
df-pipeline,1
bugwarrior,12
backend.ai-plugin,123
odoo12-addon-easy-my-coop-ch,2
netils,1
pysudoers,41
cryptocmp,0
bugyi.release-tools,0
hycli,1
cryptocmpy,0
dfp-sync,15
odoo12-addon-easy-my-coop-es,21
sphinx-xwiki-builder,2
wix-protos-members-activity-counters-api,0
FreeClimb,30
clipt,70
eagexp,2
bugyi.tools,1
gpt4pandas,20
antchain-ak-2f861e8a3b704927bc5474c6add4775a,3
pg-xmlsig,35
proto-topy,7
django-polls-tutorial-v,12
backend-base,7
pysuerga,0
024travis-test024,78
TapPayment,1
monet.calendar.extensions,3
sphinx-zon-theme,0
wix-protos-members-members-follow-api,0
eagle2svg,0
CryptoCoinChartsApi,1
ShellcodeTester,48
net-inventorylib,2
df-query,1
lcba,0
bugzilla2fedmsg,1
GPTAgent,66
jjb-reactive-choice-param,34
qurl,17
usgs-mbe,0
clip-the-gym,0
gpt-ai,5
opencensus-ext-logging,167911
Netio,11
TopsisJanice,0
prototype,2
clip-values,0
usgs-strec,105
eaglec,7
rrrr,7
backends-matrix,10
sphobjinv,1333
Bugzilla-ETL,6
lc-cache,0
crypto-com-client,8
free-disk,0
QUsaco,4
pgx-variant-tools,0
monetdblite,0
090807040506030201testpip,46
dframcy,118
antchain-ak-39377dbe0db24634abedb402abd508bd,2
opencensus-ext-postgresql,7822
pysuite,2
gptchat,11
antchain-ak-3db13ec770864aeb8a190c0709cc09bc,1
0lever-so,448
markpy,0
django-polymorphic-tree-for-garpix-page,47
dfrnt,0
jjckBackendDeployment,2
facto,0
netjson_robustness,0
pygw,1
opencensus-ext-requests,98356
wix-protos-metasite-meta-site-search-api,2
topsis-jaskaran-101803660,0
odoo12-addon-easy-my-coop-website,6
eagle_http,0
clipy-hooks,2
usher,1
quspin-vqa,4
gqlrequests-api-tibber,3
builelib,1
odoo12-addon-ir-sequence-standard-default,0
Topsis-poorvika-101917021,0
anteater,13
2to3,14940
odoo12-addon-knowledge,15
marturion,0
phial-slack,2
wix-protos-proto-media-explorer-api,0
pytablewriter,73964
clophfit,242
Phial-Toolset,0
utiliT,2
builtin-password-reset,0
easyagents,2
pytabnet,2
jmatt-sqre-codekit,0
fairiskdata,0
BuiltKiller,0
django-projectname,0
mongomantic,15
gqltst,0
CryptoZero,1
2wf90-assignment,147
jmb.core,1
odoo12-addon-kpi-dashboard-altair,0
Proxy-Session,9
jmb.jadmin,0
odoo12-addon-l10n-be-cooperator,10
djangoprojectrecipe,0
wix-protos-proto-media-unsplash-service-api,0
proxysql-tools,2
wix-protos-proto-members-area-api,0
easy-alert,0
fairlib,22
3-1,108
spines,4
Utilities-fishingCoder,0
mongo-migrations,0
rspyutils,4
target-s3-avro,0
Phidget22,1225
dhd,0
shiftpy,6
maruko,4
nettyflix,1
netuitive-statsd,0
hynbp,0
CloseableQueue-py3,1
opendp-logger,4
wix-protos-proto-metro-api,0
frequency-feature-map-visualization,214
easy-allure,25
net-uml-draw,0
bukdjango-captcha,0
marulampdf,0
odoo12-addon-l10n-be-mis-reports-xml,0
ProxyTerminator,0
jmbo-chart,0
fairmaterials,27
mongomock-mate,0
r6sapi,2
bukdjango-envsettings,3
fairml,4
rsr,0
pyhera,0
badabump,9
frequenz-api-common,76
bukkit,4
proxy_tools,21733
netunicorn-connector-docker,27
cryptwood,9
closedexpressions,2
jmbo-everlytic,1
fairness,0
odoo12-addon-l10n-br-account-bank-statement-import-cnab,3
pytado,1
TOPSIS-PRAKHAR-101983045,1
r7insight-python,5655
hyo2.enc,0
mongomonkey,0
